CELSIUS FULL AUDIT REPORT
================================================================================

Total issues: 943

By category:
  DASH: 716
  FR-LINK: 149
  TERM-HU: 44
  TERM-PL: 34

================================================================================
DETAILED ISSUES
================================================================================
[DASH] Nutrition #3 | Email 5S | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 5S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 6CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 6CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 6CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 6CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7CL | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 7CL | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 7CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7CS | Default: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 7CS | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #3 | Email 7CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | Default: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | Default: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | fr-FR: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #3 | Email 7S | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #3 | Email 8CL | Default: text_2: contains em-dash "—"
